id,Date,Random,Location,Site,Observer,Depth (m),Visibility (m),Replicate,Interval,Genus,Species,Scientific Name,Count,Size Est (cm)
553,,1,,,,,,,,,,,,
554,,1,,,,,,,,,,,,
555,,1,,,,,,,,,,,,
556,,1,,,,,,,,,,,,
557,,1,,,,,,,,,,,,
558,,0,,,,,,,,,,,,
559,,0,,,,,,,,,,,,
560,,0,,,,,,,,,,,,
561,,0,,,,,,,,,,,,
562,,0,,,,,,,,,,,,
563,,1,,,,,,,,,,,,
564,,1,,,,,,,,,,,,
565,,1,,,,,,,,,,,,
566,,0,,,,,,,,,,,,
567,,0,,,,,,,,,,,,
568,,0,,,,,,,,,,,,
569,,0,,,,,,,,,,,,
570,,0,,,,,,,,,,,,
571,,1,,,,,,,,,,,,
572,,1,,,,,,,,,,,,
573,,0,,,,,,,,,,,,
574,,1,,,,,,,,,,,,
575,,1,,,,,,,,,,,,
576,,0,,,,,,,,,,,,
577,,0,,,,,,,,,,,,
578,,1,,,,,,,,,,,,
579,,1,,,,,,,,,,,,
580,,1,,,,,,,,,,,,
581,,0,,,,,,,,,,,,
582,,0,,,,,,,,,,,,
583,,0,,,,,,,,,,,,
584,,0,,,,,,,,,,,,
585,,0,,,,,,,,,,,,
586,,1,,,,,,,,,,,,
587,,1,,,,,,,,,,,,
588,,1,,,,,,,,,,,,
589,,0,,,,,,,,,,,,
590,,0,,,,,,,,,,,,
591,,1,,,,,,,,,,,,
592,,0,,,,,,,,,,,,
593,,0,,,,,,,,,,,,
594,,1,,,,,,,,,,,,
595,,0,,,,,,,,,,,,
596,,0,,,,,,,,,,,,
597,,0,,,,,,,,,,,,
598,,1,,,,,,,,,,,,
599,,0,,,,,,,,,,,,
600,,1,,,,,,,,,,,,
601,,0,,,,,,,,,,,,
602,,1,,,,,,,,,,,,
603,,0,,,,,,,,,,,,
604,,0,,,,,,,,,,,,
605,,1,,,,,,,,,,,,
606,,0,,,,,,,,,,,,
607,,0,,,,,,,,,,,,
608,,1,,,,,,,,,,,,
609,,1,,,,,,,,,,,,
610,,0,,,,,,,,,,,,
611,,0,,,,,,,,,,,,
612,,1,,,,,,,,,,,,
613,,1,,,,,,,,,,,,
614,,0,,,,,,,,,,,,
615,,0,,,,,,,,,,,,
616,,1,,,,,,,,,,,,
617,,0,,,,,,,,,,,,
618,,0,,,,,,,,,,,,
619,,0,,,,,,,,,,,,
620,,1,,,,,,,,,,,,
621,,0,,,,,,,,,,,,
622,,0,,,,,,,,,,,,
623,,1,,,,,,,,,,,,
624,,0,,,,,,,,,,,,
625,,0,,,,,,,,,,,,
626,,1,,,,,,,,,,,,
627,,0,,,,,,,,,,,,
628,,0,,,,,,,,,,,,
629,,0,,,,,,,,,,,,
630,,1,,,,,,,,,,,,
631,,0,,,,,,,,,,,,
632,,1,,,,,,,,,,,,
633,,0,,,,,,,,,,,,
634,,1,,,,,,,,,,,,
635,,0,,,,,,,,,,,,
636,,1,,,,,,,,,,,,
637,,1,,,,,,,,,,,,
638,,1,,,,,,,,,,,,
639,,0,,,,,,,,,,,,
640,,0,,,,,,,,,,,,
641,,1,,,,,,,,,,,,
642,,1,,,,,,,,,,,,
643,,1,,,,,,,,,,,,
644,,0,,,,,,,,,,,,
645,,1,,,,,,,,,,,,
646,,1,,,,,,,,,,,,
647,,0,,,,,,,,,,,,
648,,0,,,,,,,,,,,,
649,,1,,,,,,,,,,,,
650,,0,,,,,,,,,,,,
651,,1,,,,,,,,,,,,
652,,0,,,,,,,,,,,,
653,,1,,,,,,,,,,,,
654,,0,,,,,,,,,,,,
655,,0,,,,,,,,,,,,
656,,0,,,,,,,,,,,,
657,,1,,,,,,,,,,,,
658,,1,,,,,,,,,,,,
659,,0,,,,,,,,,,,,
660,,0,,,,,,,,,,,,
661,,0,,,,,,,,,,,,
662,,0,,,,,,,,,,,,
663,,1,,,,,,,,,,,,
664,,0,,,,,,,,,,,,
665,,0,,,,,,,,,,,,
666,,1,,,,,,,,,,,,
667,,0,,,,,,,,,,,,
668,,0,,,,,,,,,,,,
669,,1,,,,,,,,,,,,
670,,0,,,,,,,,,,,,
671,,0,,,,,,,,,,,,
672,,0,,,,,,,,,,,,
673,,0,,,,,,,,,,,,
674,,1,,,,,,,,,,,,
675,,0,,,,,,,,,,,,
676,,1,,,,,,,,,,,,
677,,1,,,,,,,,,,,,
678,,0,,,,,,,,,,,,
679,,1,,,,,,,,,,,,
680,,0,,,,,,,,,,,,
681,,1,,,,,,,,,,,,
682,,0,,,,,,,,,,,,
683,,1,,,,,,,,,,,,
684,,0,,,,,,,,,,,,
685,,0,,,,,,,,,,,,
686,,1,,,,,,,,,,,,
687,,0,,,,,,,,,,,,
688,,1,,,,,,,,,,,,
689,,0,,,,,,,,,,,,
690,,0,,,,,,,,,,,,
691,,1,,,,,,,,,,,,
692,,1,,,,,,,,,,,,
693,,1,,,,,,,,,,,,
694,,0,,,,,,,,,,,,
695,,0,,,,,,,,,,,,
696,,0,,,,,,,,,,,,
697,,1,,,,,,,,,,,,
698,,1,,,,,,,,,,,,
699,,0,,,,,,,,,,,,
700,,0,,,,,,,,,,,,
701,,1,,,,,,,,,,,,
702,,1,,,,,,,,,,,,
703,,1,,,,,,,,,,,,
704,,1,,,,,,,,,,,,
705,,0,,,,,,,,,,,,
706,,1,,,,,,,,,,,,
707,,0,,,,,,,,,,,,
708,,1,,,,,,,,,,,,
709,,1,,,,,,,,,,,,
710,,0,,,,,,,,,,,,
711,,0,,,,,,,,,,,,
712,,0,,,,,,,,,,,,
713,,1,,,,,,,,,,,,
714,,1,,,,,,,,,,,,
715,,0,,,,,,,,,,,,
716,,0,,,,,,,,,,,,
717,,1,,,,,,,,,,,,
718,,1,,,,,,,,,,,,
719,,1,,,,,,,,,,,,
720,,1,,,,,,,,,,,,
721,,0,,,,,,,,,,,,
722,,0,,,,,,,,,,,,
723,,0,,,,,,,,,,,,
724,,0,,,,,,,,,,,,
725,,1,,,,,,,,,,,,
726,,1,,,,,,,,,,,,
727,,1,,,,,,,,,,,,
728,,0,,,,,,,,,,,,
729,,0,,,,,,,,,,,,
730,,1,,,,,,,,,,,,
731,,1,,,,,,,,,,,,
732,,1,,,,,,,,,,,,
733,,0,,,,,,,,,,,,
734,,0,,,,,,,,,,,,
735,,1,,,,,,,,,,,,
736,,0,,,,,,,,,,,,
737,,0,,,,,,,,,,,,
738,,0,,,,,,,,,,,,
739,,0,,,,,,,,,,,,
740,,1,,,,,,,,,,,,
741,,0,,,,,,,,,,,,
742,,0,,,,,,,,,,,,
743,,0,,,,,,,,,,,,
744,,1,,,,,,,,,,,,
745,,0,,,,,,,,,,,,
746,,1,,,,,,,,,,,,
747,,0,,,,,,,,,,,,
748,,0,,,,,,,,,,,,
749,,1,,,,,,,,,,,,
750,,0,,,,,,,,,,,,
751,,0,,,,,,,,,,,,
752,,1,,,,,,,,,,,,
753,,1,,,,,,,,,,,,
754,,0,,,,,,,,,,,,
755,,1,,,,,,,,,,,,
756,,1,,,,,,,,,,,,
757,,0,,,,,,,,,,,,
758,,1,,,,,,,,,,,,
759,,1,,,,,,,,,,,,
760,,0,,,,,,,,,,,,
761,,0,,,,,,,,,,,,
762,,0,,,,,,,,,,,,
763,,0,,,,,,,,,,,,
764,,1,,,,,,,,,,,,
765,,0,,,,,,,,,,,,
766,,0,,,,,,,,,,,,
767,,1,,,,,,,,,,,,
768,,1,,,,,,,,,,,,
769,,1,,,,,,,,,,,,
770,,0,,,,,,,,,,,,
771,,0,,,,,,,,,,,,
772,,0,,,,,,,,,,,,
773,,0,,,,,,,,,,,,
774,,0,,,,,,,,,,,,
775,,0,,,,,,,,,,,,
776,,0,,,,,,,,,,,,
777,,0,,,,,,,,,,,,
778,,1,,,,,,,,,,,,
779,,1,,,,,,,,,,,,
780,,0,,,,,,,,,,,,
781,,0,,,,,,,,,,,,
782,,1,,,,,,,,,,,,
783,,1,,,,,,,,,,,,
784,,1,,,,,,,,,,,,
785,,1,,,,,,,,,,,,
786,,0,,,,,,,,,,,,
787,,0,,,,,,,,,,,,
788,,1,,,,,,,,,,,,
789,,0,,,,,,,,,,,,
790,,0,,,,,,,,,,,,
791,,0,,,,,,,,,,,,
792,,1,,,,,,,,,,,,
793,,0,,,,,,,,,,,,
794,,1,,,,,,,,,,,,
795,,1,,,,,,,,,,,,
796,,0,,,,,,,,,,,,
797,,1,,,,,,,,,,,,
798,,0,,,,,,,,,,,,
799,,0,,,,,,,,,,,,
800,,0,,,,,,,,,,,,
801,,1,,,,,,,,,,,,
802,,1,,,,,,,,,,,,
803,,1,,,,,,,,,,,,
804,,0,,,,,,,,,,,,
805,,0,,,,,,,,,,,,
806,,1,,,,,,,,,,,,
